"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","SpecCodeType","SpecCode","SpecVal","Sex","TotalNo","CatIdentifier","NoMeas","SubFactor","SubWgt","CatCatchWgt","LngtCode","LngtClass","HLNoAtLngt","DevStage","LenMeasType","DateofCalculation","Valid_Aphia"
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",61,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",63,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"F",7,1,7,1,19700,19700,"1",50,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"F",7,1,7,1,19700,19700,"1",54,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"F",7,1,7,1,19700,19700,"1",60,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"F",7,1,7,1,19700,19700,"1",61,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"F",7,1,7,1,19700,19700,"1",64,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"F",7,1,7,1,19700,19700,"1",74,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"F",7,1,7,1,19700,19700,"1",80,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",457,63,2024,"W",126484,2,"F",4,1,4,1,10620,10620,"1",63,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",457,63,2024,"W",126484,2,"F",4,1,4,1,10620,10620,"1",65,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",457,63,2024,"W",126484,2,"F",4,1,4,1,10620,10620,"1",69,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",457,63,2024,"W",126484,2,"F",4,1,4,1,10620,10620,"1",88,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",344,70,2024,"W",126484,2,"M",3,1,3,1,11040,11040,"1",45,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",344,70,2024,"W",126484,2,"M",3,1,3,1,11040,11040,"1",59,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",344,70,2024,"W",126484,2,"F",2,1,2,1,11040,11040,"1",51,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",344,70,2024,"W",126484,2,"F",2,1,2,1,11040,11040,"1",75,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",348,68,2024,"W",126484,2,"M",2,1,2,1,8640,8640,"1",49,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",348,68,2024,"W",126484,2,"M",2,1,2,1,8640,8640,"1",59,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",348,68,2024,"W",126484,2,"F",5,1,5,1,8640,8640,"1",52,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",348,68,2024,"W",126484,2,"F",5,1,5,1,8640,8640,"1",53,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",348,68,2024,"W",126484,2,"F",5,1,5,1,8640,8640,"1",54,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",348,68,2024,"W",126484,2,"F",5,1,5,1,8640,8640,"1",59,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",348,68,2024,"W",126484,2,"F",5,1,5,1,8640,8640,"1",64,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"M",6,1,6,1,11900,11900,"1",50,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"M",6,1,6,1,11900,11900,"1",55,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"M",6,1,6,1,11900,11900,"1",56,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"M",6,1,6,1,11900,11900,"1",59,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"M",6,1,6,1,11900,11900,"1",61,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"M",6,1,6,1,11900,11900,"1",62,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"F",2,1,2,1,11900,11900,"1",51,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",341,24,2024,"W",126484,2,"F",2,1,2,1,11900,11900,"1",79,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",346,69,2024,"W",126484,2,"M",1,1,1,1,562,562,"1",47,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",278,26,2024,"W",126484,2,"F",2,1,2,1,11000,11000,"1",52,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",278,26,2024,"W",126484,2,"F",2,1,2,1,11000,11000,"1",100,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"M",4,1,4,1,10440,10440,"1",52,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"M",4,1,4,1,10440,10440,"1",53,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"M",4,1,4,1,10440,10440,"1",54,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"F",5,1,5,1,10440,10440,"1",45,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"F",5,1,5,1,10440,10440,"1",46,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"F",5,1,5,1,10440,10440,"1",49,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"F",5,1,5,1,10440,10440,"1",65,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",224,56,2024,"W",126484,2,"F",5,1,5,1,10440,10440,"1",66,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",271,28,2024,"W",126484,2,"M",4,1,4,1,11840,11840,"1",59,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",271,28,2024,"W",126484,2,"M",4,1,4,1,11840,11840,"1",60,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",271,28,2024,"W",126484,2,"M",4,1,4,1,11840,11840,"1",66,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",271,28,2024,"W",126484,2,"M",4,1,4,1,11840,11840,"1",73,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",271,28,2024,"W",126484,2,"F",2,1,2,1,11840,11840,"1",65,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",271,28,2024,"W",126484,2,"F",2,1,2,1,11840,11840,"1",74,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",311,23,2024,"W",126484,2,"M",1,1,1,1,2360,2360,"1",67,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",432,64,2024,"W",126484,2,"F",2,1,2,1,4620,4620,"1",64,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",432,64,2024,"W",126484,2,"F",2,1,2,1,4620,4620,"1",74,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",306,3,2024,"W",126484,2,"M",1,1,1,1,3960,3960,"1",60,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",306,3,2024,"W",126484,2,"F",2,1,2,1,3960,3960,"1",48,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",306,3,2024,"W",126484,2,"F",2,1,2,1,3960,3960,"1",66,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",557,1,2024,"W",126484,2,"F",1,1,1,1,1860,1860,"1",66,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",547,2,2024,"W",126484,2,"F",6,1,6,1,10760,10760,"1",50,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",547,2,2024,"W",126484,2,"F",6,1,6,1,10760,10760,"1",63,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",547,2,2024,"W",126484,2,"F",6,1,6,1,10760,10760,"1",65,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",547,2,2024,"W",126484,2,"F",6,1,6,1,10760,10760,"1",71,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",547,2,2024,"W",126484,2,"F",6,1,6,1,10760,10760,"1",72,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"M",1,1,1,1,30900,30900,"1",62,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",62,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",65,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",67,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",69,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",71,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",72,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",73,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",77,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",79,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",469,60,2024,"W",126484,2,"F",11,1,11,1,30900,30900,"1",80,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",409,10,2024,"W",126484,2,"M",2,1,2,1,6940,6940,"1",60,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",409,10,2024,"W",126484,2,"M",2,1,2,1,6940,6940,"1",69,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",409,10,2024,"W",126484,2,"F",2,1,2,1,6940,6940,"1",53,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",409,10,2024,"W",126484,2,"F",2,1,2,1,6940,6940,"1",64,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",45,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",47,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",52,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",54,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",55,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",56,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",58,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",59,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",60,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",62,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"M",12,1,12,1,42780,42780,"1",66,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",48,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",49,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",52,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",53,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",54,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",57,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",65,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",67,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",68,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",70,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",73,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",398,11,2024,"W",126484,2,"F",14,1,14,1,42780,42780,"1",78,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"M",5,1,5,1,12300,12300,"1",49,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"M",5,1,5,1,12300,12300,"1",57,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"M",5,1,5,1,12300,12300,"1",59,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"M",5,1,5,1,12300,12300,"1",60,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"M",5,1,5,1,12300,12300,"1",62,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"F",3,1,3,1,12300,12300,"1",53,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"F",3,1,3,1,12300,12300,"1",63,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",473,67,2024,"W",126484,2,"F",3,1,3,1,12300,12300,"1",66,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",365,71,2024,"W",126484,2,"M",2,1,2,1,8600,8600,"1",61,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",365,71,2024,"W",126484,2,"M",2,1,2,1,8600,8600,"1",64,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",365,71,2024,"W",126484,2,"F",3,1,3,1,8600,8600,"1",51,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",365,71,2024,"W",126484,2,"F",3,1,3,1,8600,8600,"1",66,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",481,59,2024,"W",126484,2,"M",1,1,1,1,5840,5840,"1",56,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",481,59,2024,"W",126484,2,"F",2,1,2,1,5840,5840,"1",67,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",481,59,2024,"W",126484,2,"F",2,1,2,1,5840,5840,"1",68,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",238,58,2024,"W",126484,2,"M",8,1,8,1,6520,6520,"1",44,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",238,58,2024,"W",126484,2,"M",8,1,8,1,6520,6520,"1",46,5,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",238,58,2024,"W",126484,2,"M",8,1,8,1,6520,6520,"1",51,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",238,58,2024,"W",126484,2,"M",8,1,8,1,6520,6520,"1",56,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",41,40,2024,"W",126484,2,"M",7,1,7,1,4220,4220,"1",19,1,NA,NA,20241218,126484
